Source Name,Sample Name,Parameter Value: light cycle,Parameter Value: Light Color
20220218_SOL-MIX2_Frac1.raw,20220218_SOL-MIX2_Frac1,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX2_Frac2.raw,20220218_SOL-MIX2_Frac2,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX2_Frac3.raw,20220218_SOL-MIX2_Frac3,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX2_Frac4.raw,20220218_SOL-MIX2_Frac4,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX2_Frac5.raw,20220218_SOL-MIX2_Frac5,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX2_Frac6.raw,20220218_SOL-MIX2_Frac6,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX1_Frac1.raw,20220218_SOL-MIX1_Frac1,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX1_Frac2.raw,20220218_SOL-MIX1_Frac2,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX1_Frac3.raw,20220218_SOL-MIX1_Frac3,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX1_Frac4.raw,20220218_SOL-MIX1_Frac4,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX1_Frac5.raw,20220218_SOL-MIX1_Frac5,4:2 light:dark hour,85% red and 15% blue
20220218_SOL-MIX1_Frac6.raw,20220218_SOL-MIX1_Frac6,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX3_Frac1.raw,20220218_MEM-MIX3_Frac1,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX3_Frac2.raw,20220218_MEM-MIX3_Frac2,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX3_Frac3.raw,20220218_MEM-MIX3_Frac3,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX3_Frac4.raw,20220218_MEM-MIX3_Frac4,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX3_Frac5.raw,20220218_MEM-MIX3_Frac5.raw,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX3_Frac6.raw,20220218_MEM-MIX3_Frac6,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX4_Frac1.raw,20220218_MEM-MIX4_Frac1,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX4_Frac2.raw,20220218_MEM-MIX4_Frac2,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX4_Frac3.raw,20220218_MEM-MIX4_Frac3,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX4_Frac4.raw,20220218_MEM-MIX4_Frac4,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX4_Frac5.raw,20220218_MEM-MIX4_Frac5,4:2 light:dark hour,85% red and 15% blue
20220218_MEM-MIX4_Frac6.raw,20220218_MEM-MIX4_Frac6,4:2 light:dark hour,85% red and 15% blue
GC-A2_S1_L001_R1_001 GC-A2_S1_L001_R2_001,GC-A2_S1_L001,4:2 light:dark hour,85% red and 15% blue
